ISO3;Region;SubRegion;Country/Territory;SourceType;Year;DrugGroup;DrugSubGroup;DrugName;quantity;unit;KgEquivalent;Comment
KEN;Africa;East Africa;Kenya;ARQ;2017;Cocaine-type;Cocaine;Cocaine;11,780;Kilogram;11,780;
KEN;Africa;East Africa;Kenya;ARQ;2017;NPS;Ketamine and phencyclidine-type substances;Ketamine and phencyclidine-type substances;213,500;Litre;213,500;
KEN;Africa;East Africa;Kenya;ARQ;2017;NPS;Ketamine and phencyclidine-type substances;Ketamine and phencyclidine-type substances;68,500;Litre;68,500;
KEN;Africa;East Africa;Kenya;ARQ;2017;NPS;Ketamine and phencyclidine-type substances;Ketamine and phencyclidine-type substances;447,500;Litre;447,500;
KEN;Africa;East Africa;Kenya;ARQ;2017;NPS;Ketamine and phencyclidine-type substances;Ketamine and phencyclidine-type substances;1,330;Kilogram;1,330;
KEN;Africa;East Africa;Kenya;ARQ;2017;Opioids;Heroin;Heroin;112,600;Kilogram;112,600;
KEN;Africa;East Africa;Kenya;ARQ;2016;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;8,930;Kilogram;8,930;
KEN;Africa;East Africa;Kenya;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);8809,000;Kilogram;8809,000;
KEN;Africa;East Africa;Kenya;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;6095,000;Plants;609,500;
KEN;Africa;East Africa;Kenya;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);42,000;Gram;0,040;
KEN;Africa;East Africa;Kenya;ARQ;2016;Cocaine-type;Cocaine;Cocaine;113,050;Kilogram;113,050;
KEN;Africa;East Africa;Kenya;ARQ;2016;Opioids;Heroin;Heroin;11,100;Kilogram;11,100;
KEN;Africa;East Africa;Kenya;ARQ;2016;Sedatives and tranquillizers;Benzodiazepines;Flunitrazepam (Disomnilan, Flumipam, Rohypnol);172,000;Tablet;0,000;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;542,000;Gram;0,540;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);780,250;Kilogram;780,250;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;163,000;Plants;16,300;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);100,000;Gram;0,100;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Cocaine-type;Cocaine;Cocaine;25,000;Gram;0,030;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Opioids;Heroin;Heroin;2,000;Gram;0,000;
MDG;Africa;East Africa;Madagascar;ARQ;2018;Opioids;Pharmaceutical opioids;Methadone;120,000;Gram;0,120;
MDG;Africa;East Africa;Madagascar;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);10351,920;Kilogram;10351,920;
MDG;Africa;East Africa;Madagascar;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis oil;Cannabis oil;5,000;Litre;5,000;
MDG;Africa;East Africa;Madagascar;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;57708,000;Plants;5770,800;
MDG;Africa;East Africa;Madagascar;ARQ;2017;Cocaine-type;Cocaine;Cocaine;0,070;Kilogram;0,070;
MDG;Africa;East Africa;Madagascar;ARQ;2017;Opioids;Heroin;Heroin;1005,000;Gram;1,010;
MDG;Africa;East Africa;Madagascar;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);2,990;Kilogram;2,990;
MDG;Africa;East Africa;Madagascar;ARQ;2016;Cocaine-type;Cocaine;Cocaine;0,010;Kilogram;0,010;
MDG;Africa;East Africa;Madagascar;ARQ;2016;Opioids;Heroin;Heroin;0,030;Kilogram;0,030;
DZA;Africa;North Africa;Algeria;ARQ;2020;Cocaine-type;Cocaine;Cocaine hydrochloride;32,353;Kilograms;32,353;
DZA;Africa;North Africa;Algeria;ARQ;2020;Opioids;Heroin;Heroin;2,372;Kilograms;2,372;
DZA;Africa;North Africa;Algeria;ARQ;2020;Opioids;Opium;Opium;12,000;Grams;0,012;
DZA;Africa;North Africa;Algeria;ARQ;2020;Opioids;Pharmaceutical opioids;Tramadol;731125,000;Tablets;36,556;
DZA;Africa;North Africa;Algeria;ARQ;2020;Sedatives and tranquillizers;Benzodiazepines;Diazepam;31469,000;Tablets;0,315;
AND;Europe;Western and Central Europe;Andorra;ARQ;2020;“Ecstasy”-type substances;“Ecstasy”-type substances;3,4-methylenedioxymethamphetamine (MDMA);1,000;Grams;0,001;
AND;Europe;Western and Central Europe;Andorra;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Amphetamine;Amphetamine;6,000;Grams;0,006;
AND;Europe;Western and Central Europe;Andorra;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);5597,000;Grams;5,597;
AND;Europe;Western and Central Europe;Andorra;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);702,000;Grams;0,702;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Amphetamine-type stimulants (excluding “ecstasy”);“Ecstasy”-type substances;“Ecstasy”-type substances;788,000;Tablet;0,210;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Amphetamine-type stimulants (excluding “ecstasy”);Amphetamine;Amphetamine;27,100;Gram;0,030;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;1040,000;Gram;1,040;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);99169,530;Gram;99,170;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;61906,000;Plants;6190,600;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);9488,510;Gram;9,490;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;12839,320;Gram;12,840;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Cocaine-type;Cocaine;Cocaine;8381,350;Gram;8,380;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Opioids;Heroin;Heroin;131925,640;Gram;131,930;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Opioids;Pharmaceutical opioids;Buprenorphine;618,000;Tablet;0,030;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Opioids;Pharmaceutical opioids;Methadone;2150,000;Millilitre;2,150;
MUS;Africa;East Africa;Mauritius;ARQ;2018;Sedatives and tranquillizers;Non-specified sedatives and tranquillizers;Non-specified sedatives and tranquillizers;3949,000;Tablet;0,040;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Amphetamine-type stimulants (excluding “ecstasy”);“Ecstasy”-type substances;“Ecstasy”-type substances;89,000;Tablet;0,020;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;36,450;Gram;0,040;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);7250,000;Gram;7,250;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;72086,000;Plants;7208,600;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);1079,000;Gram;1,080;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Cocaine-type;Cocaine;Cocaine;1022,000;Gram;1,020;
MUS;Africa;East Africa;Mauritius;ARQ;2016;NPS;Synthetic cannabinoids (Spice);Synthetic cannabinoids (Spice);1005,010;Gram;1,010;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Opioids;Heroin;Heroin;17134,080;Gram;17,130;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Opioids;Pharmaceutical opioids;Buprenorphine;7,000;Tablet;0,000;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Opioids;Pharmaceutical opioids;Methadone;677,050;Millilitre;0,680;
MUS;Africa;East Africa;Mauritius;ARQ;2016;Sedatives and tranquillizers;Non-specified sedatives and tranquillizers;Non-specified sedatives and tranquillizers;6215,000;Tablet;0,060;
AND;Europe;Western and Central Europe;Andorra;ARQ;2020;Cocaine-type;Cocaine;Cocaine hydrochloride;172,000;Grams;0,172;
AND;Europe;Western and Central Europe;Andorra;ARQ;2020;Opioids;Heroin;Heroin;1,000;Grams;0,001;
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);52186,000;Kilogram;52186,000;
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2017;Cocaine-type;Cocaine;Cocaine;5,200;Kilogram;5,200;
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2017;NPS;Plant-based NPS;Khat;10000,000;Kilogram;10000,000;Approximately
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2017;Opioids;Heroin;Heroin;196,800;Kilogram;196,800;
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);68230,000;Kilogram;68230,000;
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2016;Cocaine-type;Cocaine;Cocaine;18,520;Kilogram;18,520;
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2016;NPS;Plant-based NPS;Khat;20000,000;Kilogram;20000,000;Approximately
TZA;Africa;East Africa;United Republic of Tanzania;HONLAF;2016;Opioids;Heroin;Heroin;42,260;Kilogram;42,260;
ARG;Americas;South America;Argentina;ARQ;2020;“Ecstasy”-type substances;“Ecstasy”-type substances;3,4-methylenedioxymethamphetamine (MDMA);66,216;Kilograms;66,216;Éxtasis
ARG;Americas;South America;Argentina;ARQ;2020;“Ecstasy”-type substances;“Ecstasy”-type substances;3,4-methylenedioxymethamphetamine (MDMA);53262,000;Pills;14,434;Éxtasis
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Amphetamine;Amphetamine;0,891;Kilograms;0,891;Anfetamina
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Amphetamine;Amphetamine;906,500;Pills;0,227;Anfetamina
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;44,809;Kilograms;44,809;Metanfetamina
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;272,000;Pills;0,068;Metanfetamina
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Other stimulants;Other stimulants;0,162;Kilograms;0,162;Cristal
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Other stimulants;Other stimulants;0,073;Kilograms;0,073;Metilona
ARG;Americas;South America;Argentina;ARQ;2020;Amphetamine-type stimulants (excluding “ecstasy”);Prescription stimulants;Prescription stimulants;30,000;Pills;0,008;Medicamentos con Estimulantes de Tipo Anfetamínico
ARG;Americas;South America;Argentina;ARQ;2020;Any other drugs/substances;Other miscellaneous;Other drugs/substances;1,234;Kilograms;1,234;Medicamentos bajo receta - Sin especificar
ARG;Americas;South America;Argentina;ARQ;2020;Any other drugs/substances;Other miscellaneous;Other drugs/substances;120,000;Pills;0,000;Otros Opioides/Opiáceos Desconocidos
ARG;Americas;South America;Argentina;ARQ;2020;Any other drugs/substances;Other miscellaneous;Other drugs/substances;27562,000;Pills;0,000;Medicamentos bajo receta - Sin especificar
DZA;Africa;North Africa;Algeria;ARQ;2019;Any other drugs/substances;;;2085923,000;Tablet;20,860;
DZA;Africa;North Africa;Algeria;ARQ;2019;Any other drugs/substances;;;311,000;Bottles;;
DZA;Africa;North Africa;Algeria;ARQ;2019;Any other drugs/substances;;;840,000;Capsule;0,010;
DZA;Africa;North Africa;Algeria;OC2022;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);8,080;Kilogram;8,080;
DZA;Africa;North Africa;Algeria;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;1576,000;Plants;157,600;
DZA;Africa;North Africa;Algeria;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);55133,420;Kilogram;55133,420;
DZA;Africa;North Africa;Algeria;OC2022;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;897,370;Gram;0,900;
DZA;Africa;North Africa;Algeria;ARQ;2019;Cocaine-type;Cocaine;Cocaine;315,760;Kilogram;315,760;
DZA;Africa;North Africa;Algeria;OC2022;2019;Opioids;Heroin;Heroin;304,110;Gram;0,300;
DZA;Africa;North Africa;Algeria;ARQ;2019;Opioids;Other illicit opiates;Opiates;884,000;Plants;88,400;
DZA;Africa;North Africa;Algeria;ARQ;2019;Opioids;Other illicit opioids;Other illicit opioids;43,000;Gram;0,040;
DZA;Africa;North Africa;Algeria;ARQ;2018;Amphetamine-type stimulants (excluding “ecstasy”);Non-specified amphetamine-type stimulants;Non-specified amphetamine-type stimulants;1807843,000;Tablet;451,960;
DZA;Africa;North Africa;Algeria;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);1,150;Kilogram;1,150;
DZA;Africa;North Africa;Algeria;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;1159,000;Plants;115,900;
DZA;Africa;North Africa;Algeria;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);31936,390;Kilogram;31936,390;
DZA;Africa;North Africa;Algeria;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;2424,290;Gram;2,420;
DZA;Africa;North Africa;Algeria;ARQ;2018;Cocaine-type;Cocaine;Cocaine;671887,090;Gram;671,890;
DZA;Africa;North Africa;Algeria;ARQ;2018;Cocaine-type;Cocaine;Cocaine;0,300;Gram;0,000;
DZA;Africa;North Africa;Algeria;ARQ;2018;Opioids;Heroin;Heroin;4324,220;Gram;4,320;
DZA;Africa;North Africa;Algeria;ARQ;2018;Opioids;Other illicit opiates;Opiates;31,000;Plants;3,100;
DZA;Africa;North Africa;Algeria;ARQ;2018;Opioids;Opium;Opium;371,240;Gram;0,370;
DZA;Africa;North Africa;Algeria;ARQ;2017;Amphetamine-type stimulants (excluding “ecstasy”);“Ecstasy”-type substances;“Ecstasy”-type substances;246936,000;Tablet;66,920;
DZA;Africa;North Africa;Algeria;ARQ;2017;Amphetamine-type stimulants (excluding “ecstasy”);Non-specified amphetamine-type stimulants;Non-specified amphetamine-type stimulants;1201792,000;Tablet;300,450;
DZA;Africa;North Africa;Algeria;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);28,840;Kilogram;28,840;
DZA;Africa;North Africa;Algeria;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;3707,000;Plants;370,700;
DZA;Africa;North Africa;Algeria;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);52609,910;Kilogram;52609,910;
DZA;Africa;North Africa;Algeria;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;1113,500;Gram;1,110;
DZA;Africa;North Africa;Algeria;ARQ;2017;Cocaine-type;Cocaine;Cocaine;6279,410;Gram;6,280;
DZA;Africa;North Africa;Algeria;ARQ;2017;Cocaine-type;Cocaine;Cocaine;631,200;Gram;0,630;
DZA;Africa;North Africa;Algeria;ARQ;2017;Opioids;Heroin;Heroin;2120,970;Gram;2,120;
DZA;Africa;North Africa;Algeria;ARQ;2016;Amphetamine-type stimulants (excluding “ecstasy”);Non-specified amphetamine-type stimulants;Non-specified amphetamine-type stimulants;1072394,000;Tablet;268,100;
DZA;Africa;North Africa;Algeria;ARQ;2016;Amphetamine-type stimulants (excluding “ecstasy”);Non-specified amphetamine-type stimulants;Non-specified amphetamine-type stimulants;741,000;Flacons;0,000;
DZA;Africa;North Africa;Algeria;ARQ;2016;Amphetamine-type stimulants (excluding “ecstasy”);Non-specified amphetamine-type stimulants;Non-specified amphetamine-type stimulants;32,000;Capsule;0,010;
DZA;Africa;North Africa;Algeria;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;507,000;Plants;50,700;
DZA;Africa;North Africa;Algeria;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);109089,130;Kilogram;109089,130;
DZA;Africa;North Africa;Algeria;ARQ;2016;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;642,500;Gram;0,640;
DZA;Africa;North Africa;Algeria;ARQ;2016;Cocaine-type;Cocaine;Cocaine;59099,410;Gram;59,100;
DZA;Africa;North Africa;Algeria;ARQ;2016;Cocaine-type;Cocaine;Cocaine;23,000;Gram;0,020;
DZA;Africa;North Africa;Algeria;ARQ;2016;Opioids;Heroin;Heroin;1403,820;Gram;1,400;
DZA;Africa;North Africa;Algeria;ARQ;2016;Opioids;Other illicit opiates;Opiates;1060,000;Plants;106,000;
DZA;Africa;North Africa;Algeria;ARQ;2016;Opioids;Opium;Opium;554,380;Gram;0,550;
ARG;Americas;South America;Argentina;ARQ;2020;Any other drugs/substances;Synthetic cannabinoids under international control;Synthetic cannabinoids under international control;0,152;Kilograms;0,152;Cannabinoides sintéticos
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);236624,079;Kilograms;236624,079;Marihuana (Hierba)
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis oil;Cannabis oil;99,767;Litres;99,767;Aceite de Cannabis
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis oil;Cannabis oil;0,288;Kilograms;0,288;Aceite de Cannabis
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis oil;Cannabis oil;59,000;Units;0,018;Aceite de Cannabis
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;2026,851;Kilograms;2026,851;Plantas
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;35428,000;Plants;3542,800;Plantas
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);4,529;Kilograms;4,529;Hachís (Resina)
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;0,970;Kilograms;0,970;Semillas
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;135944,000;Seed;1,359;Semillas
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;0,227;Kilograms;0,227;Cigarrillos de cannabis
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;1631,652;Kilograms;1631,652;Cogollos / Flores
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;44,911;Kilograms;44,911;Crema de cannabis
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;77,866;Kilograms;77,866;Hojas de cannabis
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;7,888;Kilograms;7,888;Varios y desconocidos
ARG;Americas;South America;Argentina;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Other types of cannabis;Other types of cannabis;0,032;Kilograms;0,032;Ramas
EGY;Africa;North Africa;Egypt;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);“Ecstasy”-type substances;“Ecstasy”-type substances;26503,000;Tablet;7,180;
EGY;Africa;North Africa;Egypt;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);“Ecstasy”-type substances;3,4-methylenedioxymethamphetamine (MDMA);355,000;Gram;0,360;
EGY;Africa;North Africa;Egypt;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);Amphetamine;"""Captagon""";34916565,000;Tablet;8729,140;
EGY;Africa;North Africa;Egypt;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);Amphetamine;Amphetamine;31,000;Gram;0,030;
EGY;Africa;North Africa;Egypt;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;470,000;Cc;0,470;
EGY;Africa;North Africa;Egypt;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;263,000;Kilogram;263,000;
EGY;Africa;North Africa;Egypt;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);62097,000;Kilogram;62097,000;
EGY;Africa;North Africa;Egypt;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;1012,000;Plants;101,200;
EGY;Africa;North Africa;Egypt;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;51,000;Acres;0,000;
EGY;Africa;North Africa;Egypt;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);35928,000;Kilogram;35928,000;
