Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical purity,Minimum purity,Maximum purity,Purity
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2019,0.35,0.30,0.45,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2019,,0.00,0.97,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2018,,0.11,0.93,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2018,,0.27,0.64,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2018,0.35,0.30,0.45,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2018,0.60,0.50,0.70,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2017,,0.76,0.88,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2017,,0.01,0.86,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2017,,0.28,0.81,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2016,,0.65,0.83,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2016,0.20,0.15,0.25,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2016,,0.51,0.81,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2016,,0.78,0.83,% (percent)
ARQ,Americas,Central America,El Salvador,Opioids,Heroin,,Wholesale,2019,,0.92,0.97,% (percent)
ARQ,Americas,Central America,El Salvador,Opioids,Heroin,,Street,2018,,,0.94,% (percent)
ARQ,Americas,Central America,El Salvador,Opioids,Heroin,,Street,2017,,0.44,0.95,% (percent)
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2019,0.80,0.65,0.85,% (percent)
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Street,2019,0.40,0.25,0.45,% (percent)
ARQ,Americas,Central America,Guatemala,Opioids,Heroin,,Street,2019,0.50,0.35,0.50,% (percent)
ARQ,Americas,Central America,Guatemala,Opioids,Heroin,,Wholesale,2019,0.50,0.35,0.55,% (percent)
ARQ,Americas,Central America,Panama,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,0.75,,,% (percent)
ARQ,Americas,Central America,Panama,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2017,0.75,,,% (percent)
ARQ,Americas,Central America,Panama,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2016,0.75,,,% (percent)
ARQ,Americas,North America,Mexico,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2019,0.75,0.33,1.00,% (percent)
ARQ,Americas,North America,Mexico,Cocaine-type,Cocaine,,Wholesale,2019,0.58,0.01,0.97,% (percent)
ARQ,Americas,North America,Mexico,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2019,0.34,0.16,0.88,% (percent)
ARQ,Americas,North America,Mexico,Opioids,Heroin,,Wholesale,2019,0.61,0.06,0.81,% (percent)
ARQ,Americas,North America,Mexico,Opioids,Heroin,,Wholesale,2019,0.35,0.02,0.74,% (percent)
ARQ,Americas,North America,Mexico,Opioids,Fentanyl,,Wholesale,2019,0.10,0.00,0.51,% (percent)
ARQ,Americas,North America,United States of America,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2019,0.97,,,% (percent)
ARQ,Americas,North America,United States of America,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,0.16,,,% (percent)
ARQ,Americas,North America,United States of America,Cocaine-type,Cocaine,,Wholesale,2019,0.83,,,% (percent)
ARQ,Americas,North America,United States of America,Cocaine-type,Cocaine,,Wholesale,2018,0.86,,,% (percent)
ARQ,Americas,North America,United States of America,Cocaine-type,Cocaine,,Wholesale,2017,0.74,,,% (percent)
ARQ,Americas,North America,United States of America,Cocaine-type,Cocaine,,Wholesale,2016,0.74,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2019,0.33,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2019,0.51,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2019,0.50,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2019,0.83,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2018,0.46,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2018,0.17,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2018,0.38,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2018,0.37,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2018,0.27,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2018,0.69,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2017,0.54,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2017,0.41,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2017,0.63,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2017,0.22,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2017,0.39,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2016,0.63,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2016,0.41,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2016,0.22,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Wholesale,2016,0.54,,,% (percent)
ARQ,Americas,North America,United States of America,Opioids,Heroin,,Street,2016,0.39,,,% (percent)
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,0.06,0.05,0.07,% (percent)
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,0.06,0.05,0.07,% (percent)
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,0.06,0.05,0.07,% (percent)
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,0.06,0.05,0.07,% (percent)
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2017,0.30,0.20,0.40,% (percent)
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2017,0.80,0.60,0.90,% (percent)
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Street,2017,0.15,0.05,0.30,% (percent)
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2016,,0.01,0.95,% (percent)
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2016,,0.01,0.90,% (percent)
ARQ,Americas,South America,Paraguay,Cocaine-type,Other coca/cocaine-type drugs,,Street,2017,0.15,0.05,0.20,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,“Ecstasy”-type substances,“Ecstasy”-type substances,,Street,2019,0.60,0.40,0.85,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,“Ecstasy”-type substances,“Ecstasy”-type substances,Tablets,Street,2019,60.00,30.00,150.00,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Georgia,“Ecstasy”-type substances,“Ecstasy”-type substances,Tablets,Street,2018,70.00,50.00,200.00,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Georgia,“Ecstasy”-type substances,“Ecstasy”-type substances,,Street,2017,30.00,15.00,100.00,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Georgia,“Ecstasy”-type substances,“Ecstasy”-type substances,,Street,2017,0.70,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Amphetamine-type stimulants,Amphetamine,,Street,2019,0.60,0.40,0.85,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Amphetamine-type stimulants,Amphetamine,Powder,Street,2018,0.80,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Amphetamine-type stimulants,Amphetamine,,Street,2017,0.80,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Amphetamine-type stimulants,Methamphetamine,,Street,2019,0.60,0.40,0.85,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Amphetamine-type stimulants,Methamphetamine,,Street,2018,0.80,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Amphetamine-type stimulants,Methamphetamine,,Street,2017,0.80,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,0.12,0.02,0.18,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cannabis-type drugs,Cannabis resin (hashish),,Street,2019,0.10,0.05,0.20,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,0.10,0.03,0.20,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,0.07,0.05,0.10,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cocaine-type,Cocaine,,Street,2019,0.60,0.10,0.80,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cocaine-type,Cocaine,,Street,2018,0.60,0.20,0.80,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Cocaine-type,Cocaine,,Street,2017,0.50,0.10,0.60,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Hallucinogens,Lysergic acid diethylamide (LSD),,Street,2017,0.07,0.01,0.10,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Opioids,Heroin,,Street,2019,0.60,0.03,0.75,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Opioids,Heroin,,Street,2018,0.60,0.01,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Opioids,Heroin,,Street,2017,0.60,0.01,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Opioids,Opiates,,Street,2018,0.01,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Georgia,Opioids,Opiates,,Street,2017,0.01,,,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Street,2019,0.70,0.50,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2019,0.80,0.70,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2018,0.80,0.70,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,0.70,0.50,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,0.70,0.50,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,0.80,0.70,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2016,0.80,0.70,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis-type drugs,Cannabis resin (hashish),,Street,2016,0.70,0.50,0.90,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Heroin,,Wholesale,2019,0.20,0.15,0.25,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Heroin,,Wholesale,2018,0.20,0.15,0.25,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Heroin,,Wholesale,2017,0.20,0.15,0.25,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Heroin,,Street,2016,0.10,0.06,0.13,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Heroin,,Wholesale,2016,0.20,0.15,0.25,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Opiates,,Street,2016,0.30,0.25,0.40,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kazakhstan,Opioids,Opiates,,Wholesale,2016,0.50,0.35,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,“Ecstasy”-type substances,“Ecstasy”-type substances,Tablets,Street,2018,180.00,,,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,“Ecstasy”-type substances,“Ecstasy”-type substances,Tablets,Street,2017,180.00,,,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,0.04,0.02,0.06,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2018,0.04,0.02,0.06,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,0.04,0.02,0.06,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,0.04,0.02,0.06,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,0.13,0.08,0.17,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2018,0.13,0.08,0.17,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,0.13,0.08,0.17,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,0.13,0.08,0.17,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,NPS,Synthetic cathinones,,Street,2018,0.60,0.40,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,NPS,Alpha-Pyrrolidinohexiophenone (alpha-PHP),,Wholesale,2018,0.60,0.40,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,NPS,Alpha-Pyrrolidinohexiophenone (alpha-PHP),,Wholesale,2017,0.60,0.40,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,NPS,Alpha-Pyrrolidinohexiophenone (alpha-PHP),,Street,2017,0.60,0.40,0.70,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Opioids,Heroin,,Street,2018,0.05,0.02,0.10,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Opioids,Heroin,,Wholesale,2018,0.20,0.10,0.35,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Opioids,Heroin,,Street,2017,0.05,0.02,0.10,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Kyrgyzstan,Opioids,Heroin,,Wholesale,2017,0.20,0.10,0.35,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,“Ecstasy”-type substances,“Ecstasy”-type substances,,Wholesale,2017,,120.00,150.00,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,“Ecstasy”-type substances,“Ecstasy”-type substances,,Street,2017,,120.00,150.00,Mg/Tablet
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2017,,0.70,0.85,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,Amphetamine-type stimulants,Methamphetamine,,Street,2017,,0.70,0.85,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,Opioids,Heroin,,Street,2017,,0.30,0.58,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,Opioids,Heroin,,Wholesale,2017,,0.10,0.30,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,Opioids,Heroin,,Wholesale,2016,,0.25,0.60,% (percent)
ARQ,Asia,Central Asia and Transcaucasia,Tajikistan,Opioids,Heroin,,Street,2016,,0.07,0.20,% (percent)
DAINAP,Asia,East and South-East Asia,Brunei Darussalam,Amphetamine-type stimulants,Methamphetamine,,Street,2019,0.75,0.69,0.79,% (percent)
ARQ,Asia,East and South-East Asia,Brunei Darussalam,Amphetamine-type stimulants,Methamphetamine,,Street,2018,0.73,0.65,0.80,% (percent)
ARQ,Asia,East and South-East Asia,Brunei Darussalam,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2018,0.73,0.65,0.80,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,“Ecstasy”-type substances,“Ecstasy”-type substances,Tablets,Street,2017,34.00,29.00,39.00,Mg/Tablet
DAINAP,Asia,East and South-East Asia,Cambodia,Amphetamine-type stimulants,Methamphetamine,,Street,2019,0.64,0.02,0.81,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Amphetamine-type stimulants,Methamphetamine,,Street,2018,0.64,0.02,0.81,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Amphetamine-type stimulants,Methamphetamine,Tablets,Street,2017,16.00,11.00,21.00,Mg/Tablet
DAINAP,Asia,East and South-East Asia,Cambodia,Amphetamine-type stimulants,Methamphetamine,,Street,2017,0.73,0.68,0.78,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Amphetamine-type stimulants,Methamphetamine,Tablets,Street,2016,,0.00,0.22,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Amphetamine-type stimulants,Methamphetamine,,Street,2016,,0.01,0.97,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,NPS,Ketamine and phencyclidine-type substances,,Street,2019,0.34,0.01,0.78,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,NPS,Ketamine and phencyclidine-type substances,,Street,2018,0.34,0.01,0.78,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,NPS,Ketamine and phencyclidine-type substances,,Street,2017,0.54,0.49,0.59,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,NPS,Ketamine and phencyclidine-type substances,,Street,2016,,0.02,0.82,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Opioids,Heroin,,Street,2019,0.83,,,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Opioids,Heroin,,Street,2018,0.83,,,% (percent)
DAINAP,Asia,East and South-East Asia,Cambodia,Opioids,Heroin,,Street,2016,,0.42,0.80,% (percent)
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Amphetamine,,Street,2019,15.60,3.30,23.20,Mg/Tablet
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Amphetamine,,Wholesale,2019,16.60,1.30,24.20,Mg/Tablet
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Methamphetamine,,Street,2019,0.72,0.02,0.79,% (percent)
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2019,0.76,0.05,0.79,% (percent)
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2018,0.95,0.06,0.99,% (percent)
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Methamphetamine,,Street,2018,0.90,0.02,0.99,% (percent)
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Methamphetamine,Tablets,Wholesale,2018,16.60,1.30,24.20,Mg/Tablet
ARQ,Asia,East and South-East Asia,China,Amphetamine-type stimulants,Methamphetamine,Tablets,Street,2017,15.50,1.80,28.20,Mg/Tablet
